elapsed_s	realdisk_mb	tmpfs_mb	rss_mb
.149546636	1.7	0	4.2
1.313680753	92.2	0	4.2
2.475140784	186.4	0	4.2
3.641606301	281.0	0	4.2
4.802379256	374.7	0	4.2
5.957392006	469.1	0	4.2
7.108021648	558.2	0	4.2
8.262054497	651.0	0	4.2
9.412081835	742.7	0	4.2
10.566882366	789.1	0	4.2
11.712910098	789.1	0	4.2
12.878178442	789.1	0	4.2
14.041181738	789.1	0	4.2
15.210258181	789.1	0	4.2
16.366478449	789.1	0	4.2
17.526716416	789.1	0	4.2
18.685678982	789.1	0	4.2
19.845191782	789.1	0	4.2
20.995433524	789.1	0	4.2
22.151228963	789.1	0	4.2
23.295450731	789.1	0	4.2
24.439979119	789.1	0	4.2
25.596911212	789.1	0	4.2
26.754923959	789.1	0	4.2
27.919654116	789.1	0	4.2
29.071132850	789.1	0	4.2
30.220990988	789.1	0	4.2
31.373851246	789.1	0	4.2
32.523921237	789.1	0	4.2
33.692568198	789.1	0	4.2
34.842786390	789.1	0	4.2
35.994036956	789.1	0	4.2
37.143670747	917.1	0	4.2
38.290331816	1010.6	0	4.2
39.437590221	1104.2	0	4.2
40.591396983	1197.7	0	4.2
41.741762195	1289.5	0	4.2
42.890438570	1381.8	0	4.2
44.039495107	1473.1	0	4.2
45.187320466	1565.8	0	4.2
46.334463296	1657.9	0	4.2
47.486744997	1701.2	0	4.2
48.639039843	1701.2	0	4.2
49.799179849	1701.2	0	4.2
50.958515584	1701.2	0	4.2
52.116285524	1701.2	0	4.2
53.265057874	1701.2	0	4.2
54.411873742	1701.2	0	4.2
55.556605757	1701.2	0	4.2
56.713784586	1701.2	0	4.2
57.869173407	1701.2	0	4.2
59.029202289	1701.2	0	4.2
60.181090386	1701.2	0	4.2
61.327363513	1701.2	0	4.2
62.486325170	1701.2	0	4.2
63.623861956	1701.2	0	4.2
64.771899601	1701.2	0	4.2
65.922417187	1701.2	0	4.2
67.083608825	1701.2	0	4.2
68.238770137	1701.2	0	4.2
69.386109889	1701.2	0	4.2
70.536097056	1701.2	0	4.2
71.682978451	1701.2	0	4.2
72.830741577	1701.2	0	4.2
73.989979969	1701.2	0	4.2
75.137115134	1701.2	0	4.2
76.300614536	1701.2	0	4.2
77.449520934	1701.2	0	4.2
86.542761306	1829.2	0	5.5
95.349500239	5421.4	0	5.5
104.474707747	9008.5	0	5.5
113.593597964	16430.6	0	600.4
122.846077758	5535.5	0	600.4
131.639238327	11812.2	0	600.4
141.059099395	14377.1	0	1170.8
149.882855809	23054.5	0	627.6
158.657560152	11824.3	0	627.6
167.656353436	16441.5	0	627.6
176.759070635	22669.6	0	640.2
185.643668030	12989.9	0	640.2
194.235985320	17520.5	0	640.2
203.579093052	20170.4	0	640.2
212.780504586	27793.6	0	6346.3
222.142340067	8068.2	0	10698.6
230.979402510	5181.4	0	10648.6
239.904773881	4442.3	0	11093.3
248.798304638	4419.4	0	11093.7
257.682379492	4438.4	0	11120.0
266.369718204	4454.9	0	10934.2
275.060653771	4461.8	0	10934.2
283.716753870	4475.1	0	10934.2
292.294016644	4495.1	0	10684.0
301.059797792	4523.2	0	10711.5
309.872907378	4523.2	0	10711.5
318.682970580	4523.2	0	10711.5
327.463139143	4523.2	0	10711.5
336.265503000	4523.2	0	10711.5
345.120404088	4531.5	0	10735.2
353.893844619	4422.5	0	10072.3
362.756586079	4418.2	0	12728.1
371.270067331	4332.6	0	10375.9
379.977733013	4338.1	0	10143.7
388.287270104	4280.3	0	10342.0
396.823927592	4281.8	0	16156.5
404.849522864	4157.6	0	10719.7
413.510949825	4158.7	0	10256.0
421.288477954	4082.2	0	10212.4
429.076398191	4039.3	0	11320.3
436.692914452	3947.1	0	10256.3
444.034358371	3883.4	0	10256.7
450.957324282	3809.7	0	10193.4
457.406163062	3741.8	0	10380.0
463.287590990	3666.7	0	10148.7
468.452943195	3605.3	0	11203.7
474.107180142	3557.5	0	10020.2
479.058275441	2857.4	0	17958.7
484.118430238	2574.1	0	10023.9
488.961989883	2453.6	0	11121.0
493.864626265	2459.0	0	10405.6
498.812357056	2471.1	0	10405.6
503.670521887	2479.7	0	10405.6
508.507476103	2491.3	0	10212.3
513.426853745	2496.0	0	10247.0
518.184861326	2440.2	0	10564.5
522.910460827	2440.2	0	10564.6
527.613711141	2443.9	0	10564.7
532.377052904	2451.8	0	10564.7
537.157355971	2465.0	0	10584.0
541.899971771	2466.6	0	10584.0
546.667376457	2468.1	0	10584.0
551.375695820	2469.6	0	10584.0
556.085748040	2473.0	0	10584.0
560.787149103	2480.7	0	10584.0
565.584326040	2488.2	0	10584.0
570.270607897	2503.6	0	10435.9
575.003636193	2511.0	0	10435.9
579.724824390	2517.6	0	10435.9
584.402898407	2532.6	0	10581.0
589.131749415	2520.1	0	10246.5
593.940001104	2520.4	0	10246.5
598.721301896	2520.4	0	10246.5
603.544541423	2520.4	0	10246.5
608.299937441	2521.2	0	10246.5
613.078895771	2522.7	0	10246.5
617.893688443	2524.1	0	10246.5
622.523893680	2514.0	0	14407.6
627.158231391	2493.0	0	10681.9
631.671771472	2494.3	0	10681.9
636.374132033	2496.5	0	10246.1
641.025271765	2498.1	0	10246.1
645.660631886	2496.4	0	16106.9
650.108629238	2460.1	0	10438.4
654.653678599	2457.1	0	10245.9
659.152306001	2453.7	0	13491.4
663.290402981	2429.3	0	10447.0
667.316497665	2419.3	0	10246.5
671.237519826	2416.7	0	11047.4
674.854608947	2398.3	0	10222.5
678.218547928	2372.1	0	10336.1
681.470457992	2355.0	0	12935.1
684.600600899	2337.3	0	11047.1
687.538874575	2315.3	0	10528.2
690.282416122	2299.6	0	11046.9
692.790415981	2281.6	0	11316.4
695.065903226	2272.1	0	10172.4
697.083730954	2261.6	0	11831.7
698.823295062	2255.1	0	10386.3
700.525702618	2232.0	0	15057.1
702.125893905	2233.0	0	10809.4
703.782334623	2233.1	0	10335.9
705.326366218	2233.1	0	5856.1
706.626672737	1915.4	0	2741.7
707.782457039	1730.0	0	0
