elapsed_s	persistent_mb	temp_mb
.054940932	0	0
2.125211953	161.9	0
4.194772418	328.2	0
6.263611746	492.9	0
8.331894441	656.5	0
10.394622618	789.1	0
12.458600777	789.1	0
14.525875174	789.1	0
16.589603333	2589.7	0
18.649359454	4381.2	0
20.727887184	6141.4	0
22.795880965	7686.7	0
24.862412686	8847.2	0
26.926124203	10677.8	0
28.986995264	12481.9	0
31.049833401	14245.1	0
33.124538238	15977.7	0
35.188271177	17633.0	0
37.255450490	19321.8	0
39.325426343	21003.4	0
41.386618291	22434.6	0
43.447454761	24145.1	0
45.513126880	25913.1	0
47.576718229	27724.0	0
49.645306560	28619.4	0
51.715539901	29700.6	0
53.788133045	29860.9	0
55.857113921	30024.7	0
57.926144226	30190.2	0
60.003697300	30357.5	0
62.066528749	30425.3	0
64.135826089	30425.3	0
66.205750659	30425.3	0
68.271234297	32087.3	0
70.342768547	33750.3	0
72.405760198	34860.5	0
74.477323848	36191.7	0
76.548882648	37838.0	0
78.614062430	39110.0	0
80.677523250	40342.3	0
82.746231380	41974.8	0
84.813495252	43615.4	0
86.883300091	45259.7	0
88.956052605	46797.0	0
91.020040530	48017.6	0
93.080318068	49398.7	0
95.142942169	51030.5	0
97.214343245	52657.6	0
99.283039457	53658.3	0
101.350298022	55189.6	0
103.417929219	56011.6	0
114.069223196	56940.9	9995.6
124.203815370	28967.6	11162.8
133.906272713	1573.2	5400.2
143.229181219	1573.2	2969.1
153.395982811	1573.2	2844.4
161.547962328	1573.2	2859.6
169.684597089	1573.2	2879.4
177.855152554	1573.2	2885.9
186.550660255	1573.2	2893.9
195.679704950	1573.2	2913.7
205.263908819	1573.2	2943.2
215.109319191	1573.2	2950.0
225.029889908	1573.2	2950.0
234.898358005	1573.2	2950.0
244.772112499	1573.2	2950.1
254.578119747	1573.2	2928.5
264.344960174	1573.2	2844.9
273.462996113	1573.2	2791.0
282.956866250	1573.2	2763.4
292.278969973	1573.2	2730.5
301.720943143	1573.2	2715.4
310.317827801	1573.2	2590.7
319.498093401	1573.2	2585.4
328.490711158	1573.2	2505.4
337.076630863	1573.2	2436.4
345.342709731	1573.2	2353.8
353.276841285	1573.2	2279.0
360.797878882	1573.2	2200.3
367.659736934	1573.2	2110.6
374.173864403	1573.2	2037.5
380.612219556	1573.2	1769.4
386.629029761	1573.2	1159.1
392.177620736	1573.2	891.4
397.988433067	1573.2	885.0
403.879996190	1573.2	898.6
409.786873722	1573.2	909.3
415.692635124	1573.2	921.6
421.030407558	1573.2	877.7
426.573376264	1573.2	867.0
432.051201988	1573.2	871.2
437.529438024	1573.2	880.2
442.996713844	1573.2	892.3
448.334678233	1573.2	894.1
453.598212248	1573.2	895.7
458.660090793	1573.2	897.5
464.258194606	1573.2	906.2
469.822801432	1573.2	915.0
475.580323832	1573.2	931.8
481.314885495	1573.2	940.7
487.091160672	1573.2	948.4
492.458093311	1573.2	946.9
498.099190174	1573.2	947.1
503.736422582	1573.2	947.1
509.362870989	1573.2	947.1
514.978267298	1573.2	948.7
520.614426983	1573.2	950.5
526.155782249	1573.2	947.3
531.607577400	1573.2	919.7
537.161479648	1573.2	921.1
542.730697264	1573.2	924.0
548.266755316	1573.2	925.9
553.511807596	1573.2	893.5
558.911552488	1573.2	883.9
564.231890104	1573.2	879.6
569.206552405	1573.2	853.8
574.152820292	1573.2	846.0
578.818988066	1573.2	826.6
583.024322836	1573.2	790.8
587.125592250	1573.2	769.5
591.025530084	1573.2	742.5
594.583218629	1573.2	717.6
597.823503608	1573.2	699.4
600.675350673	1573.2	687.4
603.210453785	1573.2	657.6
605.855052259	1573.2	659.7
608.430753472	1573.2	659.9
610.633420016	1573.2	391.4
