elapsed_s	realdisk_mb	tmpfs_mb	rss_mb
.152984008	0	1.0	4.2
1.311428989	0	20.8	4.2
2.478020670	0	169.7	4.2
4.405242965	0	297.7	4.2
6.376352144	0	715.0	554.2
8.448003738	0	744.5	559.1
10.362409545	0	449.4	461.9
12.381759080	0	814.5	560.0
14.430461803	0	842.1	560.2
16.457686523	0	848.3	560.3
18.526455594	0	855.5	560.4
20.421338814	0	643.7	302.9
22.301569588	0	897.0	559.9
24.299667210	0	957.4	560.5
26.336101945	0	963.6	560.5
28.248256965	0	945.9	544.6
30.190149163	0	1060.6	562.5
32.236262486	0	1074.1	562.5
34.361235053	0	235.2	687.3
36.433795749	0	223.7	691.2
38.202081743	0	95.8	699.2
39.948671930	0	87.8	699.6
