elapsed_s	realdisk_mb	tmpfs_mb	rss_mb
.134598949	0	1.0	4.2
1.292492141	0	20.6	4.2
2.453872882	0	169.3	4.2
4.120220112	0	297.3	4.3
5.744705471	0	502.7	392.0
7.412080527	0	515.5	395.9
9.076959302	0	309.2	377.2
10.787856390	0	539.2	397.1
12.328025207	0	558.8	397.1
13.967772685	0	571.6	365.4
15.685081871	0	581.1	397.2
17.259932955	0	614.3	397.3
18.867383697	0	620.2	397.4
20.510596045	0	626.1	397.4
22.165017782	0	551.5	397.6
23.890514238	0	650.5	397.9
25.582669761	0	662.6	397.9
27.235184836	0	668.5	397.9
28.798907569	0	668.5	397.9
30.410974696	0	675.3	398.0
32.062567848	0	681.1	398.0
33.709698823	0	682.1	398.0
35.350571999	0	682.1	398.0
37.003540440	0	682.1	398.0
38.707517623	0	687.6	55.7
40.412954787	0	686.3	397.1
42.133207684	0	707.7	397.1
43.813601300	0	727.0	397.3
45.456536871	0	732.8	397.3
47.153344566	0	739.2	55.7
48.851252126	0	748.5	398.1
50.557925419	0	779.5	398.3
52.232399072	0	792.1	55.9
53.936585109	0	797.8	397.6
55.623749952	0	831.9	398.9
57.270712330	0	844.6	398.9
58.911741775	0	844.6	398.9
60.552448690	0	845.5	398.9
62.243336430	0	851.2	398.7
63.916468873	0	892.6	398.9
65.562574410	0	900.5	398.9
67.283806156	0	385.7	273.4
68.998069629	0	339.7	273.5
70.698932725	0	293.5	274.6
72.345313809	0	240.1	275.6
73.893460367	0	195.7	276.3
75.378303334	0	156.1	279.1
76.852947293	0	139.7	279.0
78.310616421	0	131.6	279.0
79.741354917	0	113.3	279.1
81.109483946	0	84.6	279.1
82.374016416	0	67.7	279.2
