elapsed_s	realdisk_mb	tmpfs_mb	rss_mb
.138272009	.8	0	4.2
1.301059301	20.5	0	4.2
2.465632111	169.2	0	4.2
4.400075510	297.2	0	4.3
6.337138421	673.1	0	547.7
8.353993135	738.8	0	558.7
10.278936026	747.3	0	116.0
12.228113884	766.3	0	559.8
14.246919289	829.9	0	560.3
16.334671614	847.5	0	560.3
18.336861151	850.3	0	560.4
20.355551834	855.0	0	89.8
22.256590140	774.7	0	559.2
24.274735888	925.2	0	560.6
26.255997862	957.4	0	560.5
28.139157025	965.4	0	90.1
30.008173692	966.3	0	560.1
32.042368075	1060.2	0	562.6
34.063732645	1073.6	0	562.6
36.082416946	236.4	0	687.1
38.167794290	224.1	0	691.5
39.925478456	96.5	0	700.5
41.685311429	85.0	0	701.2
