elapsed_s	realdisk_mb	tmpfs_mb	rss_mb
.139950495	.9	0	4.2
1.294373184	20.5	0	4.2
2.446971561	169.2	0	4.2
3.593072666	229.9	0	4.3
5.246869972	466.8	0	363.2
6.826183120	658.5	0	456.5
8.400721722	695.0	0	470.2
10.056269604	714.8	0	478.4
11.719754391	738.3	0	483.9
13.348171601	407.1	0	86.4
14.932217094	747.7	0	484.3
16.475392870	778.0	0	484.6
18.020950109	794.9	0	484.7
19.566797099	803.5	0	484.7
21.170417471	822.3	0	484.8
22.770960048	828.2	0	484.9
24.369866201	838.0	0	484.9
26.007011580	847.8	0	485.0
27.645400058	847.8	0	485.0
29.289851816	847.8	0	485.0
30.937958210	848.7	0	485.0
32.574746832	848.7	0	485.0
34.230768508	848.7	0	485.0
35.882703680	848.7	0	485.0
37.523262511	849.7	0	485.0
39.147246033	516.7	0	81.0
40.806002772	856.1	0	484.4
42.433380840	870.5	0	484.6
44.046792170	905.5	0	484.7
45.698916511	927.2	0	484.8
47.343493525	941.0	0	484.9
49.015360953	954.8	0	484.9
50.714011194	956.7	0	484.9
52.337973256	625.9	0	81.0
53.994844378	966.3	0	484.9
55.600335962	1007.3	0	485.8
57.236448665	1044.7	0	485.8
58.883473930	1057.2	0	486.7
60.556898611	1068.1	0	486.8
62.232440560	1070.0	0	486.8
63.830252685	384.2	0	273.9
65.534718144	388.5	0	275.7
67.169954030	326.0	0	276.6
68.770878047	250.2	0	277.2
70.299692780	207.9	0	278.1
71.747016474	154.5	0	281.0
73.205906568	156.8	0	281.0
74.615086284	130.6	0	281.0
76.004412338	111.7	0	281.0
77.375486507	95.3	0	281.1
78.694428867	79.3	0	281.1
79.831234169	59.8	0	0
