elapsed_s	persistent_mb	temp_mb
.054967072	0	0
2.122660306	160.5	0
4.191854390	327.3	0
6.263030310	492.0	0
8.344071115	656.1	0
10.404484744	789.1	0
12.466413031	789.1	0
14.532349204	789.1	0
16.596307692	2728.2	0
18.659665249	4657.6	0
20.728664943	6204.5	0
22.793374237	7687.1	0
24.854067358	9467.0	0
26.920971557	11438.5	0
28.992839550	13175.8	0
31.060343302	14648.1	0
33.123908184	16279.1	0
35.190495695	18196.4	0
37.250607817	20145.1	0
39.309503859	22059.3	0
41.369039296	23989.9	0
43.432692502	25797.4	0
45.497937750	26975.1	0
47.567052814	28828.6	0
49.627631981	30760.2	0
51.698526544	31850.9	0
53.770875366	32014.2	0
55.840366659	32177.4	0
57.913850950	32344.6	0
59.981004578	32513.0	0
62.042712158	32634.8	0
64.108356015	32634.8	0
66.170373880	32634.8	0
68.233666542	33519.9	0
70.299085058	35325.6	0
72.362406091	37101.5	0
74.433337368	38016.5	0
76.496700920	39770.5	0
78.565892935	41546.7	0
80.632262124	42717.6	0
82.695691822	44253.1	0
84.762727963	46068.6	0
86.829716298	47853.7	0
88.898187826	49235.1	0
90.966777751	50581.9	0
93.033428307	52283.6	0
95.107761150	54073.2	0
97.174961888	55840.1	0
99.237196030	56719.8	0
101.307137400	58552.9	0
103.370716990	60224.7	0
105.434618722	61176.5	0
115.544181876	61349.5	12656.3
125.923552236	13184.5	8767.5
135.863240112	1573.2	4266.7
145.340445177	1573.2	2883.1
155.135999687	1573.2	2846.1
164.684883242	1573.2	2870.4
174.255252217	1573.2	2882.8
183.771613574	1573.2	2890.3
193.327229361	1573.2	2908.1
202.188213381	1573.2	2934.4
211.087546935	1573.2	2950.0
219.190081199	1573.2	2950.0
228.528256303	1573.2	2950.0
238.097974289	1573.2	2950.0
247.834792124	1573.2	2952.3
257.424451463	1573.2	2940.3
267.189979857	1573.2	2844.9
276.692325031	1573.2	2791.1
286.188223983	1573.2	2763.6
295.243741329	1573.2	2722.8
303.997698080	1573.2	2715.3
312.373797544	1573.2	2604.3
321.426276316	1573.2	2585.4
330.401989864	1573.2	2511.3
339.041657117	1573.2	2456.2
347.526422574	1573.2	2363.7
355.649682182	1573.2	2290.2
363.335054959	1573.2	2215.2
370.452145433	1573.2	2130.1
376.675225799	1573.2	2054.7
383.130743224	1573.2	2030.2
389.088583577	1573.2	1272.1
394.721158814	1573.2	928.0
400.326843967	1573.2	881.7
406.372775541	1573.2	894.2
412.413619175	1573.2	904.9
418.455711918	1573.2	918.6
424.418589048	1573.2	904.1
429.466125614	1573.2	867.0
434.906272842	1573.2	867.7
440.112355306	1573.2	876.1
445.510549461	1573.2	891.5
450.633886460	1573.2	893.1
456.180878284	1573.2	894.8
461.786073125	1573.2	896.5
467.455136502	1573.2	902.1
472.854314515	1573.2	910.8
478.414995635	1573.2	927.7
484.190986544	1573.2	936.0
489.943944035	1573.2	944.2
495.678366242	1573.2	960.3
501.229440229	1573.2	947.1
506.923030354	1573.2	947.1
512.538556344	1573.2	947.1
518.148210708	1573.2	947.7
523.786465850	1573.2	949.4
529.434660032	1573.2	951.2
534.658948112	1573.2	931.3
539.463930339	1573.2	920.2
544.264773254	1573.2	921.1
549.918367704	1573.2	924.2
555.573780014	1573.2	926.3
560.732558528	1573.2	886.8
566.034133896	1573.2	883.9
571.208993539	1573.2	877.8
575.992421309	1573.2	853.5
580.885934506	1573.2	846.0
585.478222435	1573.2	825.6
589.765324897	1573.2	791.8
593.867576750	1573.2	771.7
597.775896084	1573.2	744.3
601.375282487	1573.2	721.0
604.635712367	1573.2	699.9
607.496411758	1573.2	687.6
610.030970120	1573.2	657.4
612.538099635	1573.2	659.7
615.102381404	1573.2	659.9
617.297572750	1573.2	393.9
