elapsed_s	realdisk_mb	tmpfs_mb	rss_mb
.139636361	0	.9	4.1
1.304359188	0	20.6	4.1
2.467545541	0	169.3	4.1
4.130082475	0	297.3	4.3
5.810270937	0	646.1	451.2
7.422198328	0	691.3	468.2
9.074177572	0	713.0	476.7
10.688046045	0	727.7	483.0
12.384603884	0	746.8	86.5
14.100093135	0	748.8	484.5
15.808551897	0	784.1	484.8
17.490862058	0	797.0	484.8
19.170593334	0	811.0	484.9
20.847762405	0	822.4	484.9
22.529599053	0	835.2	485.0
24.196763973	0	846.3	485.0
25.878194698	0	847.9	485.0
27.549325925	0	847.9	485.0
29.234884810	0	847.9	485.0
30.913639522	0	848.8	485.0
32.601543754	0	848.8	485.1
34.273797490	0	848.8	485.1
35.957469200	0	848.8	485.1
37.626913729	0	849.8	485.1
39.261132664	0	728.3	484.4
40.959909088	0	861.0	484.6
42.610083292	0	893.9	484.8
44.150125135	0	917.3	484.8
45.758073831	0	936.2	484.9
47.407929377	0	954.0	485.0
49.046227335	0	955.9	485.0
50.687063993	0	956.9	485.0
52.316528955	0	844.7	484.8
54.019964887	0	992.7	485.8
55.668149828	0	1034.4	485.9
57.349835417	0	1056.4	486.8
59.028342120	0	1067.2	486.8
60.706098613	0	1069.1	486.8
62.373154872	0	1003.7	273.2
64.064279106	0	388.2	275.7
65.744468772	0	325.3	276.1
67.421993343	0	267.2	277.4
69.011622909	0	212.2	278.3
70.486619962	0	154.2	281.0
71.950007118	0	156.7	281.1
73.397731442	0	130.5	281.0
74.824156562	0	111.7	281.1
76.216118337	0	95.4	281.1
77.549019669	0	77.6	281.2
