elapsed_s	realdisk_mb	tmpfs_mb	rss_mb
.146803383	1.0	0	4.2
1.313225086	20.5	0	4.2
2.470240495	169.2	0	4.2
3.621061841	232.5	0	4.4
5.479777691	388.9	0	460.2
7.451262430	520.5	0	92.5
9.381588050	530.3	0	474.1
11.414617195	575.7	0	474.5
13.283365677	407.1	0	59.9
15.275391283	615.4	0	474.6
17.360815573	630.2	0	94.0
19.254553584	633.0	0	474.9
21.301265408	670.9	0	475.2
23.368582896	685.9	0	475.2
25.293000784	687.5	0	60.5
27.276454224	702.6	0	474.5
29.321526975	737.7	0	474.5
31.425225318	737.7	0	474.5
33.332821719	683.4	0	474.9
35.370112257	795.2	0	475.7
37.276765433	625.9	0	60.7
39.243858727	830.4	0	476.1
41.298744554	848.7	0	94.6
43.191708831	851.1	0	476.0
45.054172061	842.1	0	704.8
47.149698821	244.5	0	714.2
48.941459113	130.3	0	721.8
50.756984243	98.0	0	724.0
52.145691137	67.9	0	500.5
